probe set	gene
41280_r_at	 Cluster Incl AF007134:Homo sapiens clone 23565 unknown mRNA, partial cds /cds=(0,736) /gb=AF007134 /gi=2852608 /ug=Hs.234249 /len=1480 
41281_s_at	peroxisome biogenesis factor 10
41282_s_at	 Cluster Incl AA194159:zr37h01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-665617 /clone_end=5'' /gb=AA194159 /gi=1783850 /ug=Hs.234453 /len=610'' 
41283_at	Cluster Incl AF052131:Homo sapiens clone 23930 mRNA sequence /cds=UNKNOWN /gb=AF052131 /gi=3360440 /ug=Hs.234670 /len=1240
41284_at	 Cluster Incl AI650578:wa92f11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2303661 /clone_end=3'' /gb=AI650578 /gi=4734557 /ug=Hs.234869 /len=666'' 
41285_at	inositol polyphosphate-5-phosphatase, 40kD
41286_at	tumor-associated calcium signal transducer 2
41287_s_at	Cluster Incl W28510:48f3 Homo sapiens cDNA /gb=W28510 /gi=1308521 /ug=Hs.236327 /len=902
41288_at	 Cluster Incl AL036744:DKFZp564I1663_r1 Homo sapiens cDNA, 5 end /clone=DKFZp564I1663 /clone_end=5'' /gb=AL036744 /gi=5927888 /ug=Hs.236327 /len=617'' 
41289_at	 Cluster Incl AA126505:zn86a09.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-565048 /clone_end=3'' /gb=AA126505 /gi=1686153 /ug=Hs.237108 /len=713'' 
41290_at	Cluster Incl W27873:39a11 Homo sapiens cDNA /gb=W27873 /gi=1307821 /ug=Hs.237108 /len=855
41291_at	hypothetical protein R32184_1
41292_at	heterogeneous nuclear ribonucleoprotein H1 (H)
41293_at	 Cluster Incl AI123710:oo16h01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1566385 /clone_end=3'' /gb=AI123710 /gi=3539476 /ug=Hs.23881 /len=788'' 
41294_at	 Cluster Incl AJ238246:Homo sapiens mRNA for sarcolectin /cds=(61,1470) /gb=AJ238246 /gi=4688899 /ug=Hs.23881 /len=1831 
41295_at	 Cluster Incl AL041780:DKFZp434A0418_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434A0418 /clone_end=3'' /gb=AL041780 /gi=5421127 /ug=Hs.239060 /len=723'' 
41296_s_at	Cluster Incl W27761:37c5 Homo sapiens cDNA /gb=W27761 /gi=1307709 /ug=Hs.239060 /len=734
41297_at	 Cluster Incl AI189305:qd05d11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1722837 /clone_end=3'' /gb=AI189305 /gi=3740514 /ug=Hs.239114 /len=817'' 
41298_at	mannosidase, alpha, class 1A, member 2
41299_f_at	Cluster Incl W28183:43b9 Homo sapiens cDNA /gb=W28183 /gi=1308131 /ug=Hs.239301 /len=937
41300_s_at	 Cluster Incl AA477898:zu34f08.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-739911 /clone_end=5'' /gb=AA477898 /gi=2206532 /ug=Hs.239414 /len=449'' 
41301_at	Cluster Incl W28608:49b1 Homo sapiens cDNA /gb=W28608 /gi=1308556 /ug=Hs.239414 /len=839
41302_at	 Cluster Incl R59606:yh02e06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-41910 /clone_end=3'' /gb=R59606 /gi=830301 /ug=Hs.239474 /len=469'' 
41303_r_at	 Cluster Incl AI378632:tc72g11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2070212 /clone_end=3'' /gb=AI378632 /gi=4188485 /ug=Hs.239503 /len=476'' 
41304_at	neuropilin 2
41305_at	solute carrier family 5 (sodium/glucose cotransporter), member 2
41306_at	 Cluster Incl AA004795:zh96a06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-429106 /clone_end=3'' /gb=AA004795 /gi=1448292 /ug=Hs.239696 /len=568'' 
41307_at	Cluster Incl W28597:49a1 Homo sapiens cDNA /gb=W28597 /gi=1308545 /ug=Hs.239720 /len=800
41308_at	C-terminal binding protein 1
41309_g_at	C-terminal binding protein 1
41310_f_at	nuclear receptor subfamily 2, group F, member 6
41311_f_at	 Cluster Incl AI189624:qd32h08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1725471 /clone_end=3'' /gb=AI189624 /gi=3740833 /ug=Hs.239752 /len=833'' 
41312_r_at	 Cluster Incl AI189624:qd32h08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1725471 /clone_end=3'' /gb=AI189624 /gi=3740833 /ug=Hs.239752 /len=833'' 
41313_at	oxysterol binding protein
41314_at	citrate synthase
41315_at	 Cluster Incl AA456343:zx76d04.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-809671 /clone_end=5'' /gb=AA456343 /gi=2178919 /ug=Hs.23978 /len=646'' 
41316_s_at	scaffold attachment factor B
41317_at	RAP2A, member of RAS oncogene family
41318_g_at	RAP2A, member of RAS oncogene family
41319_at	 Cluster Incl AI034226:ow09g06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1646362 /clone_end=3'' /gb=AI034226 /gi=3255179 /ug=Hs.239892 /len=569'' 
41320_s_at	 Cluster Incl U69609:Human transcriptional repressor (GCF2) mRNA, complete cds /cds=(124,2382) /gb=U69609 /gi=3421044 /ug=Hs.239894 /len=3505 
41321_s_at	 Cluster Incl AA528077:nh90a11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-965756 /clone_end=3'' /gb=AA528077 /gi=2270146 /ug=Hs.23990 /len=631'' 
41322_s_at	 Cluster Incl AI816034:au44e05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2517632 /clone_end=3'' /gb=AI816034 /gi=5431580 /ug=Hs.23990 /len=737'' 
41323_at	Cluster Incl U90917:Human clone 23641 mRNA sequence /cds=UNKNOWN /gb=U90917 /gi=1913898 /ug=Hs.239 /len=1301
41324_g_at	Cluster Incl U90917:Human clone 23641 mRNA sequence /cds=UNKNOWN /gb=U90917 /gi=1913898 /ug=Hs.239 /len=1301
41325_at	potassium channel, subfamily K, member 3 (TASK)
41326_at	 Cluster Incl AI193606:qe71b12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1744415 /clone_end=3'' /gb=AI193606 /gi=3744815 /ug=Hs.24040 /len=516'' 
41327_at	 Cluster Incl AA887477:oj54a08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1502102 /clone_end=3'' /gb=AA887477 /gi=3003165 /ug=Hs.24178 /len=550'' 
41328_s_at	Cluster Incl AL096717:Homo sapiens mRNA; cDNA DKFZp564P0662 (from clone DKFZp564P0662) /cds=UNKNOWN /gb=AL096717 /gi=5419852 /ug=Hs.24178 /len=2228
41329_at	 Cluster Incl AI458463:tj99b02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2149611 /clone_end=3'' /gb=AI458463 /gi=4311042 /ug=Hs.24243 /len=594'' 
41330_s_at	KIAA0806 gene product
41331_at	 Cluster Incl R93981:yt73d01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-276120 /clone_end=3'' /gb=R93981 /gi=969376 /ug=Hs.24279 /len=462'' 
41332_at	polymerase (RNA) II (DNA directed) polypeptide E (25kD)
41333_at	centaurin beta2
41334_r_at	 Cluster Incl AA398463:zt62e11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-726956 /clone_end=3'' /gb=AA398463 /gi=2051573 /ug=Hs.24375 /len=625'' 
41335_at	DKFZP566O1646 protein
41336_at	 Cluster Incl AI823772:wj14e08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2402822 /clone_end=3'' /gb=AI823772 /gi=5444443 /ug=Hs.24427 /len=565'' 
41337_at	amino-terminal enhancer of split
41338_at	 Cluster Incl AI951946:wx39f10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2546059 /clone_end=3'' /gb=AI951946 /gi=5744256 /ug=Hs.244 /len=523'' 
41339_at	ubiquitination factor E4B (homologous to yeast UFD2)
41340_at	 Cluster Incl AA827795:od08a05.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1367312 /clone_end=3'' /gb=AA827795 /gi=2900158 /ug=Hs.24640 /len=476'' 
41341_at	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A
41342_at	RAN binding protein 1
41343_at	 Cluster Incl Y16521:Homo sapiens mRNA for CDS2 protein /cds=(258,1595) /gb=Y16521 /gi=4186022 /ug=Hs.24812 /len=2711 
41344_s_at	purine-rich element binding protein A
41345_at	 Cluster Incl AI223140:qg53a06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1838866 /clone_end=3'' /gb=AI223140 /gi=3805343 /ug=Hs.25180 /len=532'' 
41346_at	like-glycosyltransferase
41347_at	 Cluster Incl AI814659:wj75g09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2408704 /clone_end=3'' /gb=AI814659 /gi=5425874 /ug=Hs.25351 /len=549'' 
41348_at	iroquois-class homeodomain protein
41349_at	presenilin 2 (Alzheimer disease 4)
41350_at	 Cluster Incl M20776:Homo sapiens, alpha-1 (VI) collagen /cds=UNKNOWN /gb=M20776 /gi=180909 /ug=Hs.25459 /len=1008 
41351_at	 Cluster Incl AA885106:am31h01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1468465 /clone_end=3'' /gb=AA885106 /gi=2995087 /ug=Hs.25459 /len=627'' 
41352_at	sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)
41353_at	tumor necrosis factor receptor superfamily, member 17
41354_at	stanniocalcin 1
41355_at	 Cluster Incl N95229:zb53g09.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-307360 /clone_end=3'' /gb=N95229 /gi=1267510 /ug=Hs.25816 /len=521'' 
41356_at	Cluster Incl W27619:35c7 Homo sapiens cDNA /gb=W27619 /gi=1307567 /ug=Hs.25816 /len=674
41357_at	Cluster Incl W27997:43e3 Homo sapiens cDNA /gb=W27997 /gi=1308152 /ug=Hs.25 /len=801
41358_at	 Cluster Incl AI827730:wf11d12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2350295 /clone_end=3'' /gb=AI827730 /gi=5448401 /ug=Hs.26548 /len=563'' 
41359_at	plakophilin 3
41360_at	 Cluster Incl AA044787:zk74c11.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-488564 /clone_end=5'' /gb=AA044787 /gi=1523055 /ug=Hs.26703 /len=679'' 
41361_at	Cluster Incl W28148:43f2 Homo sapiens cDNA /gb=W28148 /gi=1308159 /ug=Hs.26703 /len=821
41482_at	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)
41483_s_at	jun D proto-oncogene
41484_r_at	jun D proto-oncogene
41485_at	lactate dehydrogenase A
41486_at	carcinoma associated
41487_at	 Cluster Incl W72400:zd67g05.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-345752 /clone_end=3'' /gb=W72400 /gi=1382455 /ug=Hs.28529 /len=599'' 
41488_at	hypothetical protein A-211C6.1
41489_at	transducin-like enhancer of split 1, homolog of Drosophila E(sp1)
41490_at	phosphoribosyl pyrophosphate synthetase 2
41491_s_at	ATPase, Class VI, type 11A
41492_r_at	ATPase, Class VI, type 11A
41493_at	 Cluster Incl AI094610:oy64f07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1670629 /clone_end=3'' /gb=AI094610 /gi=3433586 /ug=Hs.29189 /len=573'' 
41494_at	ZYG homolog
41495_at	 Cluster Incl W37606:zc12a03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-322060 /clone_end=5'' /gb=W37606 /gi=1319220 /ug=Hs.29417 /len=565'' 
41496_at	HCF-binding transcription factor Zhangfei
41497_at	 Cluster Incl AI401296:tg92c03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2116228 /clone_end=3'' /gb=AI401296 /gi=4244383 /ug=Hs.29656 /len=641'' 
41498_at	KIAA0911 protein
41499_at	v-ski avian sarcoma viral oncogene homolog
41500_at	 Cluster Incl AI761818:wi62g02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2394866 /clone_end=3'' /gb=AI761818 /gi=5177409 /ug=Hs.2969 /len=521'' 
41501_at	homeodomain-interacting protein kinase 3
41502_at	 Cluster Incl AI523538:th08a07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2117652 /clone_end=3'' /gb=AI523538 /gi=4437673 /ug=Hs.30148 /len=551'' 
41503_at	KIAA0854 protein
41504_s_at	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog
41505_r_at	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog
41506_at	mitogen-activated protein kinase-activated protein kinase 5
41507_at	 Cluster Incl AI700753:we41b07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2343637 /clone_end=3'' /gb=AI700753 /gi=4988653 /ug=Hs.30327 /len=619'' 
41508_at	early growth response 4
41509_at	heat shock 70kD protein 9B (mortalin-2)
41510_s_at	heat shock 70kD protein 9B (mortalin-2)
41511_at	MHC class II transactivator
41512_at	 Cluster Incl AL042733:DKFZp434B2222_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434B2222 /clone_end=3'' /gb=AL042733 /gi=5422182 /ug=Hs.30982 /len=782'' 
41513_s_at	Cluster Incl W28345:45h11 Homo sapiens cDNA /gb=W28345 /gi=1308311 /ug=Hs.31239 /len=765
41514_s_at	Cluster Incl W26628:34a4 Homo sapiens cDNA /gb=W26628 /gi=1307471 /ug=Hs.31239 /len=885
41515_at	retinoblastoma-binding protein 7
41516_at	SNARE protein
41517_g_at	SNARE protein
41518_at	 Cluster Incl AI925356:wn53b06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2449139 /clone_end=3'' /gb=AI925356 /gi=5661320 /ug=Hs.31531 /len=662'' 
41519_at	 Cluster Incl AI814836:wk67e08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2420486 /clone_end=3'' /gb=AI814836 /gi=5426051 /ug=Hs.31809 /len=492'' 
41520_at	hypothetical protein MGC2650
41521_at	 Cluster Incl AI760053:wg57f07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2369221 /clone_end=3'' /gb=AI760053 /gi=5175720 /ug=Hs.31939 /len=513'' 
41522_at	manic fringe (Drosophila) homolog
41523_at	RAB32, member RAS oncogene family
41524_at	inositol polyphosphate-1-phosphatase
41525_at	 Cluster Incl N25429:yx76b02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-267627 /clone_end=3'' /gb=N25429 /gi=1139870 /ug=Hs.32317 /len=611'' 
41526_at	high-mobility group 20B
41527_f_at	Cluster Incl W29063:56g11 Homo sapiens cDNA /gb=W29063 /gi=1309092 /ug=Hs.32456 /len=907
41528_at	 Cluster Incl W72239:zd62h08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-345279 /clone_end=3'' /gb=W72239 /gi=1382992 /ug=Hs.32456 /len=600'' 
41529_g_at	 Cluster Incl W72239:zd62h08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-345279 /clone_end=3'' /gb=W72239 /gi=1382992 /ug=Hs.32456 /len=600'' 
41530_at	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
41531_at	 Cluster Incl AI445461:tj34g07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2143452 /clone_end=3'' /gb=AI445461 /gi=4288374 /ug=Hs.3337 /len=775'' 
41532_at	zinc finger protein 151 (pHZ-67)
41533_at	 Cluster Incl U79298:Human clone 23803 mRNA, partial cds /cds=(0,1123) /gb=U79298 /gi=1710281 /ug=Hs.34054 /len=1481 
41534_at	BH-protocadherin (brain-heart)
41535_at	deleted in oral cancer (mouse, homolog) 1
41536_at	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
41537_r_at	nuclear factor I/X (CCAAT-binding transcription factor)
41538_r_at	 Cluster Incl AI937054:wp72e06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2467330 /clone_end=3'' /gb=AI937054 /gi=5675924 /ug=Hs.36451 /len=489'' 
41539_at	glutamate receptor, ionotropic, N-methyl D-aspartate 2C
41540_at	protein phosphatase 1, regulatory subunit 7
41541_at	 Cluster Incl AI971642:wr06e07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2480772 /clone_end=3'' /gb=AI971642 /gi=5768468 /ug=Hs.3764 /len=735'' 
41542_at	zinc finger protein 216
41543_at	lymphoid nuclear protein related to AF4
41544_at	serum-inducible kinase
41545_at	cyclin-dependent kinase 6
41546_at	 Cluster Incl AI738463:wi32b08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2391927 /clone_end=3'' /gb=AI738463 /gi=5100444 /ug=Hs.38481 /len=645'' 
41547_at	BUB3 (budding uninhibited by benzimidazoles 3, yeast) homolog
41548_at	 Cluster Incl AA128314:zl30d10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-503443 /clone_end=3'' /gb=AA128314 /gi=1688364 /ug=Hs.40368 /len=606'' 
41549_s_at	 Cluster Incl AF091077:Homo sapiens clone 558 unknown mRNA, complete sequence /cds=(1,300) /gb=AF091077 /gi=3859991 /ug=Hs.40368 /len=947 
41550_at	similar to S. cerevisiae RER1
41551_at	 Cluster Incl AW044624:wy78c04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2554662 /clone_end=3'' /gb=AW044624 /gi=5905153 /ug=Hs.40500 /len=688'' 
41552_g_at	 Cluster Incl AW044624:wy78c04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2554662 /clone_end=3'' /gb=AW044624 /gi=5905153 /ug=Hs.40500 /len=688'' 
41553_at	 Cluster Incl AI738702:wi22b11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2390973 /clone_end=3'' /gb=AI738702 /gi=5100683 /ug=Hs.40539 /len=650'' 
41554_at	Nijmegen breakage syndrome 1 (nibrin)
41555_at	 Cluster Incl AI971626:wr06c11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2480756 /clone_end=3'' /gb=AI971626 /gi=5768452 /ug=Hs.40968 /len=651'' 
41556_s_at	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
41557_at	KIAA0052 protein
41558_s_at	Cluster Incl W28150:43f4 Homo sapiens cDNA /gb=W28150 /gi=1308161 /ug=Hs.41585 /len=838
41559_at	 Cluster Incl AA434319:zw24f03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-770237 /clone_end=5'' /gb=AA434319 /gi=2139233 /ug=Hs.41585 /len=516'' 
41560_at	 Cluster Incl AI467797:tj83c12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2148118 /clone_end=3'' /gb=AI467797 /gi=4329887 /ug=Hs.41639 /len=716'' 
41561_s_at	 Cluster Incl AI651368:wb05d07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2304781 /clone_end=3'' /gb=AI651368 /gi=4735347 /ug=Hs.4187 /len=715'' 
41562_at	murine leukemia viral (bmi-1) oncogene homolog
41563_at	 Cluster Incl N32151:yy23a12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-272062 /clone_end=3'' /gb=N32151 /gi=1152550 /ug=Hs.43265 /len=561'' 
41564_at	melastatin 1
41565_at	ataxin 2 related protein
41566_at	 Cluster Incl AI218364:qh21h01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1845361 /clone_end=3'' /gb=AI218364 /gi=3798179 /ug=Hs.437 /len=490'' 
41567_at	transcription factor 15 (basic helix-loop-helix)
41568_at	arylsulfatase D
41569_at	 Cluster Incl AI680675:tx40a08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2272022 /clone_end=3'' /gb=AI680675 /gi=4890857 /ug=Hs.44131 /len=554'' 
41570_at	KIAA0974 protein
41571_at	 Cluster Incl AA872560:oa16f04.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1305151 /clone_end=3'' /gb=AA872560 /gi=2968738 /ug=Hs.44313 /len=612'' 
41572_r_at	v-rel avian reticuloendotheliosis viral oncogene homolog
41573_at	Sp3 transcription factor
41574_at	pinin, desmosome associated protein
41575_at	Cluster Incl AF070571:Homo sapiens clone 24739 mRNA sequence /cds=UNKNOWN /gb=AF070571 /gi=3387940 /ug=Hs.44690 /len=2639
41576_at	 Cluster Incl N35082:yy19c06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-271690 /clone_end=3'' /gb=N35082 /gi=1156224 /ug=Hs.44690 /len=480'' 
41577_at	KIAA0823 protein
41578_at	 Cluster Incl AB007959:Homo sapiens mRNA, chromosome 1 specific transcript KIAA0490 /cds=UNKNOWN /gb=AB007959 /gi=3413933 /ug=Hs.46296 /len=6075 
41579_s_at	 Cluster Incl AI952267:wx50d11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2547093 /clone_end=3'' /gb=AI952267 /gi=5744577 /ug=Hs.47144 /len=487'' 
41580_at	DKFZP586N0819 protein
41581_at	 Cluster Incl AI796824:we22g07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2341884 /clone_end=3'' /gb=AI796824 /gi=5362287 /ug=Hs.47344 /len=539'' 
41582_at	advillin
41583_at	flap structure-specific endonuclease 1
41584_at	nudix (nucleoside diphosphate linked moiety X)-type motif 3
41585_at	KIAA0746 protein
41586_at	fibroblast growth factor 18
41587_g_at	fibroblast growth factor 18
41588_at	 Cluster Incl AA022949:ze72h02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-364563 /clone_end=3'' /gb=AA022949 /gi=1487039 /ug=Hs.49585 /len=455'' 
41589_at	potassium voltage-gated channel, KQT-like subfamily, member 2
41590_at	 Cluster Incl AI652660:wb30c10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2307186 /clone_end=3'' /gb=AI652660 /gi=4736639 /ug=Hs.5008 /len=525'' 
41591_at	 Cluster Incl AI652978:wb42a05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2308304 /clone_end=3'' /gb=AI652978 /gi=4736957 /ug=Hs.50467 /len=552'' 
41592_at	JAK binding protein
41593_at	 Cluster Incl AA877218:ob15e08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1323782 /clone_end=3'' /gb=AA877218 /gi=2986295 /ug=Hs.50640 /len=1073'' 
41594_at	Janus kinase 1 (a protein tyrosine kinase)
41595_at	KIAA0947 protein
41596_s_at	N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB)
41597_s_at	SEC22, vesicle trafficking protein (S. cerevisiae)-like 1
41598_at	 Cluster Incl AA890010:aj89h08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1403679 /clone_end=3'' /gb=AA890010 /gi=3016889 /ug=Hs.50785 /len=491'' 
41599_at	GATA-binding protein 6
41600_at	proliferation-associated 2G4, 38kD
41601_at	 Cluster Incl AA142964:zl43a07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-504660 /clone_end=3'' /gb=AA142964 /gi=1712342 /ug=Hs.52438 /len=594'' 
41786_at	Cluster Incl W27235:24c1 Homo sapiens cDNA /gb=W27235 /gi=1306751 /ug=Hs.52438 /len=725
41787_at	 Cluster Incl AI452442:tj62a07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2146068 /clone_end=3'' /gb=AI452442 /gi=4285640 /ug=Hs.52526 /len=489'' 
41788_i_at	KIAA0669 gene product
41789_r_at	KIAA0669 gene product
41790_at	glycosylphosphatidylinositol specific phospholipase D1
41791_at	hypothetical protein
41792_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
41793_at	 Cluster Incl AI288757:qm11h01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1881553 /clone_end=3'' /gb=AI288757 /gi=3932260 /ug=Hs.54470 /len=613'' 
41794_at	phosphodiesterase 6H, cGMP-specific, cone, gamma
41795_at	NCK adaptor protein 1
41796_at	phospholipase C, epsilon 2
41797_at	 Cluster Incl AI739480:wi14a12.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2390206 /clone_end=3'' /gb=AI739480 /gi=5101461 /ug=Hs.55235 /len=581'' 
41798_at	sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)
41799_at	Cluster Incl W28595:48h8 Homo sapiens cDNA /gb=W28595 /gi=1308543 /ug=Hs.5542 /len=957
41800_s_at	tetratricopeptide repeat domain 2
41801_at	Cluster Incl AF052097:Homo sapiens clone 23765 mRNA sequence /cds=UNKNOWN /gb=AF052097 /gi=3360404 /ug=Hs.5548 /len=1476
41802_at	Cluster Incl W27670:36b1 Homo sapiens cDNA /gb=W27670 /gi=1307618 /ug=Hs.55613 /len=754
41803_g_at	Cluster Incl W27670:36b1 Homo sapiens cDNA /gb=W27670 /gi=1307618 /ug=Hs.55613 /len=754
41804_at	 Cluster Incl W80358:zh49a07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-415380 /clone_end=3'' /gb=W80358 /gi=1391395 /ug=Hs.55613 /len=547'' 
41805_g_at	 Cluster Incl W80358:zh49a07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-415380 /clone_end=3'' /gb=W80358 /gi=1391395 /ug=Hs.55613 /len=547'' 
41806_at	fibroblast growth factor 2 (basic)
41807_at	 Cluster Incl AL040137:DKFZp434D1813_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434D1813 /clone_end=3'' /gb=AL040137 /gi=5409104 /ug=Hs.56169 /len=614'' 
41808_at	cyclin D binding Myb-like transcription factor 1
41809_at	 Cluster Incl AI656421:tt50h10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2244259 /clone_end=3'' /gb=AI656421 /gi=4740400 /ug=Hs.5671 /len=566'' 
41810_at	 Cluster Incl AA203545:zx59a05.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446768 /clone_end=5'' /gb=AA203545 /gi=1799271 /ug=Hs.56876 /len=568'' 
41811_f_at	Cluster Incl W27544:32c3 Homo sapiens cDNA /gb=W27544 /gi=1307348 /ug=Hs.56876 /len=947
41812_s_at	KIAA0906 protein
41813_at	 Cluster Incl AI867102:wd99b10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2339707 /clone_end=3'' /gb=AI867102 /gi=5540136 /ug=Hs.56966 /len=425'' 
41814_at	fucosidase, alpha-L- 1, tissue
41815_at	synaptic nuclei expressed gene 2; KIAA1011 protein
41816_at	hypothetical protein
41817_g_at	hypothetical protein
41818_at	 Cluster Incl AW024347:wv03b02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-991006 /clone_end=3'' /gb=AW024347 /gi=5877877 /ug=Hs.57973 /len=575'' 
41819_at	FYN-binding protein (FYB-120/130)
41820_s_at	Cluster Incl W27723:36g3 Homo sapiens cDNA /gb=W27723 /gi=1307671 /ug=Hs.59498 /len=688
41821_at	 Cluster Incl AA203246:zx54h03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446357 /clone_end=5'' /gb=AA203246 /gi=1798964 /ug=Hs.59498 /len=612'' 
41822_at	zinc finger protein
41823_at	staufen (Drosophila, RNA-binding protein)
41824_at	 Cluster Incl AI140114:qa95c06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1694506 /clone_end=3'' /gb=AI140114 /gi=3647571 /ug=Hs.6153 /len=741'' 
41825_at	Cluster Incl W26652:34c6 Homo sapiens cDNA /gb=W26652 /gi=1307495 /ug=Hs.6163 /len=912
41826_at	Cluster Incl W28287:47f12 Homo sapiens cDNA /gb=W28287 /gi=1308442 /ug=Hs.6189 /len=825
41827_f_at	 Cluster Incl AI932613:wo05c02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2454434 /clone_end=3'' /gb=AI932613 /gi=5671350 /ug=Hs.62036 /len=570'' 
41828_at	methyl-CpG binding domain protein 1
41829_at	KIAA0731 protein
41830_at	KIAA0494 gene product
41831_at	low density lipoprotein receptor-related protein 5
